date,COMPANY_NAME,orders
2026-07-09,AURO FRUIT AND NUT PRIVATE LIMITED,1
2026-07-09,Anand gift emporium,2
2026-07-09,DABSTER INTERNATIONAL PRIVATE LIMITED,1
2026-07-09,ERA Botanics,1
2026-07-09,Ecofynd,1
2026-07-09,GEEKVERSE VENTURES LLP,2
2026-07-09,Go5 Incorporation,6
2026-07-09,HITESH JAIN,1
2026-07-09,Hammer,1
2026-07-09,INLOOP STUDIO,1
2026-07-09,MAYANK KWATRA,2
2026-07-09,NAMMA DABBA PRIVATE LIMITED,1
2026-07-09,Order Status,126
2026-07-09,QUICKCOM SOLUTIONS PRIVATE LIMITED,2
2026-07-09,RITI ARORA,5
2026-07-09,RedroomTechnology Private Limited,1
2026-07-09,SELECT BRANDS INTERNATIONAL PRIVATE LIMITED,1
2026-07-09,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,9
2026-07-09,ShopeeQ.com,37
2026-07-09,Sproutlife Foods Pvt ltd,4
2026-07-09,THE HATKE,1
2026-07-09,Visage lines Personal Care Pvt Ltd,3
2026-07-10,ARTI KAPOOR,92
2026-07-10,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-10,GAVYAMART,1
2026-07-10,Go5 Incorporation,5
2026-07-10,HITESH JAIN,3
2026-07-10,NAMMA DABBA PRIVATE LIMITED,4
2026-07-10,Order Status,93
2026-07-10,PANDA,1
2026-07-10,QUICKCOM SOLUTIONS PRIVATE LIMITED,3
2026-07-10,RITI ARORA,5
2026-07-10,RedroomTechnology Private Limited,1
2026-07-10,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,3
2026-07-10,ShopeeQ.com,50
2026-07-10,Sproutlife Foods Pvt ltd,1
2026-07-10,Visage lines Personal Care Pvt Ltd,5
2026-07-10,ZIBBRI INDIA PRIVATE LIMITED,2
2026-07-11,ALPHAWALK SERVICES LLP,1
2026-07-11,ANSH SABHARWAL,3
2026-07-11,ARTI KAPOOR,95
2026-07-11,AZURETALE PRIVATE LIMITED,1
2026-07-11,DABSTER INTERNATIONAL PRIVATE LIMITED,3
2026-07-11,DYNAMIC MARKETTING SOLUTION,1
2026-07-11,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-11,Go5 Incorporation,9
2026-07-11,HITESH JAIN,3
2026-07-11,MAYANK KWATRA,1
2026-07-11,NAMMA DABBA PRIVATE LIMITED,3
2026-07-11,NUTS DELISH PRIVATE LIMITED,1
2026-07-11,Order Status,84
2026-07-11,RITI ARORA,41
2026-07-11,RedroomTechnology Private Limited,1
2026-07-11,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-11,ShopeeQ.com,30
2026-07-11,Sproutlife Foods Pvt ltd,3
2026-07-11,Visage lines Personal Care Pvt Ltd,5
2026-07-11,WAYVEDA INDIA PRIVATE LIMITED,1
2026-07-12,ANSH SABHARWAL,1
2026-07-12,ARTI KAPOOR,82
2026-07-12,AURO FRUIT AND NUT PRIVATE LIMITED,3
2026-07-12,DABSTER INTERNATIONAL PRIVATE LIMITED,1
2026-07-12,DYNAMIC MARKETTING SOLUTION,2
2026-07-12,Go5 Incorporation,15
2026-07-12,HITESH JAIN,1
2026-07-12,In??ief,1
2026-07-12,JANESH AGRAWAL,1
2026-07-12,NAMMA DABBA PRIVATE LIMITED,1
2026-07-12,NATURE MANIA INDIA PRIVATE LIMITED,1
2026-07-12,ONETAIL BRANDS TECHNOLOGIES PRIVATE LIMITED,1
2026-07-12,Order Status,132
2026-07-12,Ph91 Consumer Goods India Pvt Ltd,1
2026-07-12,RITI ARORA,4
2026-07-12,Rawls Essential,1
2026-07-12,RedroomTechnology Private Limited,1
2026-07-12,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,1
2026-07-12,ShopeeQ.com,38
2026-07-12,Sproutlife Foods Pvt ltd,5
2026-07-12,Visage lines Personal Care Pvt Ltd,8
2026-07-13,ANSH SABHARWAL,1
2026-07-13,ARTI KAPOOR,117
2026-07-13,Amitva retail,1
2026-07-13,BEATFUS PRODUCTS PRIVATE LIMITED,1
2026-07-13,DABSTER INTERNATIONAL PRIVATE LIMITED,3
2026-07-13,EVOLVE SNACKS PRIVATE LIMITED,1
2026-07-13,Go5 Incorporation,10
2026-07-13,HITESH JAIN,4
2026-07-13,Hammer,1
2026-07-13,In??ief,1
2026-07-13,J3J ECOM PRIVATE LIMITED,1
2026-07-13,MAYANK KWATRA,1
2026-07-13,Man-Solid by Eqraa Corporation LLP,1
2026-07-13,NAMMA DABBA PRIVATE LIMITED,6
2026-07-13,NUTS DELISH PRIVATE LIMITED,3
2026-07-13,Order Status,13
2026-07-13,RITI ARORA,31
2026-07-13,RedroomTechnology Private Limited,1
2026-07-13,Ren Lifestyle Solutions Pvt Ltd.,1
2026-07-13,ShopeeQ.com,40
2026-07-13,Sproutlife Foods Pvt ltd,3
2026-07-13,Visage lines Personal Care Pvt Ltd,7
2026-07-13,ZIBBRI INDIA PRIVATE LIMITED,3
2026-07-14,ALPHAWALK SERVICES LLP,2
2026-07-14,ANSH SABHARWAL,8
2026-07-14,ARTI KAPOOR,114
2026-07-14,Amitva retail,1
2026-07-14,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-14,Go5 Incorporation,8
2026-07-14,HITESH JAIN,2
2026-07-14,MAYANK KWATRA,1
2026-07-14,NAMMA DABBA PRIVATE LIMITED,5
2026-07-14,Order Status,16
2026-07-14,RITI ARORA,8
2026-07-14,SIXTY9 SOLUTIONS PRIVATE LIMITED,1
2026-07-14,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-14,ShopeeQ.com,52
2026-07-14,Sproutlife Foods Pvt ltd,6
2026-07-14,Visage lines Personal Care Pvt Ltd,6
2026-07-14,ZIBBRI INDIA PRIVATE LIMITED,1
2026-07-14,ZYNTRIX LIFESTYLE LLP,1
2026-07-15,ALPHAWALK SERVICES LLP,3
2026-07-15,ANSH SABHARWAL,3
2026-07-15,APIC Inc.,1
2026-07-15,ARTI KAPOOR,126
2026-07-15,BEATFUS PRODUCTS PRIVATE LIMITED,1
2026-07-15,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-15,ERD INFOTECH PRIVATE LIMITED,1
2026-07-15,Go5 Incorporation,4
2026-07-15,HITESH JAIN,4
2026-07-15,JUGAL KANT SHARMA,1
2026-07-15,NAMMA DABBA PRIVATE LIMITED,6
2026-07-15,Order Status,2
2026-07-15,QUICKCOM SOLUTIONS PRIVATE LIMITED,2
2026-07-15,RITI ARORA,2
2026-07-15,RedroomTechnology Private Limited,1
2026-07-15,SAVANI DAYABEN,1
2026-07-15,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-15,ShopeeQ.com,57
2026-07-15,Sproutlife Foods Pvt ltd,3
2026-07-15,Visage lines Personal Care Pvt Ltd,14
2026-07-16,ALPHAWALK SERVICES LLP,1
2026-07-16,ANSH SABHARWAL,9
2026-07-16,ARTI KAPOOR,90
2026-07-16,ASQUARE FOOD & BEVERAGES PVT LTD,1
2026-07-16,DYNAMIC MARKETTING SOLUTION,1
2026-07-16,FitFeast,1
2026-07-16,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-16,Go5 Incorporation,2
2026-07-16,HITESH JAIN,3
2026-07-16,J3J ECOM PRIVATE LIMITED,1
2026-07-16,MAYANK KWATRA,1
2026-07-16,NAMMA DABBA PRIVATE LIMITED,2
2026-07-16,Order Status,3
2026-07-16,QUICKCOM SOLUTIONS PRIVATE LIMITED,2
2026-07-16,SAVANI DAYABEN,1
2026-07-16,SELECT BRANDS INTERNATIONAL PRIVATE LIMITED,1
2026-07-16,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,1
2026-07-16,ShopeeQ.com,45
2026-07-16,Sproutlife Foods Pvt ltd,2
2026-07-16,The Snack Company,1
2026-07-16,Visage lines Personal Care Pvt Ltd,7
2026-07-16,servdharm,1
2026-07-17,ALPHAWALK SERVICES LLP,1
2026-07-17,ANSH SABHARWAL,5
2026-07-17,ARTI KAPOOR,83
2026-07-17,BEATFUS PRODUCTS PRIVATE LIMITED,1
2026-07-17,DYNAMIC MARKETTING SOLUTION,1
2026-07-17,Go5 Incorporation,3
2026-07-17,HITESH JAIN,4
2026-07-17,MAYANK KWATRA,1
2026-07-17,NAMMA DABBA PRIVATE LIMITED,3
2026-07-17,Order Status,20
2026-07-17,QUICKCOM SOLUTIONS PRIVATE LIMITED,1
2026-07-17,RITI ARORA,10
2026-07-17,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,1
2026-07-17,ShopeeQ.com,34
2026-07-17,Sproutlife Foods Pvt ltd,1
2026-07-17,Visage lines Personal Care Pvt Ltd,6
2026-07-18,ALPHAWALK SERVICES LLP,3
2026-07-18,ANSH SABHARWAL,7
2026-07-18,ARTI KAPOOR,89
2026-07-18,Go5 Incorporation,2
2026-07-18,HITESH JAIN,2
2026-07-18,Hammer,1
2026-07-18,NAMMA DABBA PRIVATE LIMITED,3
2026-07-18,Order Status,7
2026-07-18,PANDA,1
2026-07-18,QUICKCOM SOLUTIONS PRIVATE LIMITED,3
2026-07-18,RITI ARORA,3
2026-07-18,RedroomTechnology Private Limited,1
2026-07-18,SAVANI DAYABEN,1
2026-07-18,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,4
2026-07-18,ShopeeQ.com,34
2026-07-18,Sproutlife Foods Pvt ltd,1
2026-07-18,TRU NATIVE F&B PRIVATE LIMITED,1
2026-07-18,Visage lines Personal Care Pvt Ltd,7
2026-07-19,ANSH SABHARWAL,2
2026-07-19,ARTI KAPOOR,77
2026-07-19,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-19,Go5 Incorporation,5
2026-07-19,HITESH JAIN,3
2026-07-19,In??ief,1
2026-07-19,JUGAL KANT SHARMA,1
2026-07-19,NAMMA DABBA PRIVATE LIMITED,3
2026-07-19,NOVATEOR RESEARCH LABORATORIES  LIMITED,1
2026-07-19,Order Status,2
2026-07-19,PANDA,1
2026-07-19,Ph91 Consumer Goods India Pvt Ltd,1
2026-07-19,RITI ARORA,6
2026-07-19,RedroomTechnology Private Limited,1
2026-07-19,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,17
2026-07-19,ShopeeQ.com,27
2026-07-19,Sproutlife Foods Pvt ltd,2
2026-07-19,Visage lines Personal Care Pvt Ltd,8
2026-07-19,bachchaparty.in,1
2026-07-20,ALPHAWALK SERVICES LLP,1
2026-07-20,ANSH SABHARWAL,1
2026-07-20,ARTI KAPOOR,70
2026-07-20,Go5 Incorporation,6
2026-07-20,HITESH JAIN,7
2026-07-20,In??ief,1
2026-07-20,NAMMA DABBA PRIVATE LIMITED,4
2026-07-20,Order Status,3
2026-07-20,PANDA,1
2026-07-20,RITI ARORA,5
2026-07-20,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,11
2026-07-20,ShopeeQ.com,46
2026-07-20,Sproutlife Foods Pvt ltd,11
2026-07-20,Visage lines Personal Care Pvt Ltd,4
2026-07-20,ZYNTRIX LIFESTYLE LLP,1
2026-07-21,ALPHAWALK SERVICES LLP,1
2026-07-21,ANSH SABHARWAL,3
2026-07-21,ARTI KAPOOR,58
2026-07-21,BIOEXICON LABS PRIVATE LIMITED,1
2026-07-21,DABSTER INTERNATIONAL PRIVATE LIMITED,1
2026-07-21,Geeklane.in,1
2026-07-21,Go5 Incorporation,11
2026-07-21,HITESH JAIN,2
2026-07-21,JUGAL KANT SHARMA,1
2026-07-21,NAMMA DABBA PRIVATE LIMITED,2
2026-07-21,Order Status,7
2026-07-21,QUICKCOM SOLUTIONS PRIVATE LIMITED,1
2026-07-21,RITI ARORA,7
2026-07-21,RedroomTechnology Private Limited,1
2026-07-21,SAVANI DAYABEN,1
2026-07-21,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-21,ShopeeQ.com,33
2026-07-21,Sproutlife Foods Pvt ltd,11
2026-07-21,Visage lines Personal Care Pvt Ltd,7
2026-07-22,ALPHAWALK SERVICES LLP,1
2026-07-22,ANSH SABHARWAL,5
2026-07-22,ARTI KAPOOR,54
2026-07-22,AURO FRUIT AND NUT PRIVATE LIMITED,1
2026-07-22,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-22,DYNAMIC MARKETTING SOLUTION,3
2026-07-22,FitFeast,1
2026-07-22,Go5 Incorporation,9
2026-07-22,HITESH JAIN,5
2026-07-22,MAYANK KWATRA,2
2026-07-22,NAMMA DABBA PRIVATE LIMITED,1
2026-07-22,Order Status,6
2026-07-22,RITI ARORA,6
2026-07-22,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,1
2026-07-22,ShopeeQ.com,44
2026-07-22,Sproutlife Foods Pvt ltd,6
2026-07-22,Visage lines Personal Care Pvt Ltd,9
2026-07-22,ZIBBRI INDIA PRIVATE LIMITED,1
2026-07-23,ALPHAWALK SERVICES LLP,1
2026-07-23,ANSH SABHARWAL,2
2026-07-23,ARTI KAPOOR,63
2026-07-23,BEATFUS PRODUCTS PRIVATE LIMITED,1
2026-07-23,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-23,DYNAMIC MARKETTING SOLUTION,3
2026-07-23,FitFeast,1
2026-07-23,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-23,Go5 Incorporation,2
2026-07-23,HITESH JAIN,2
2026-07-23,JANESH AGRAWAL,1
2026-07-23,MAYANK KWATRA,1
2026-07-23,NAMMA DABBA PRIVATE LIMITED,3
2026-07-23,Order Status,17
2026-07-23,PANDA,1
2026-07-23,RITI ARORA,14
2026-07-23,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,3
2026-07-23,ShopeeQ.com,28
2026-07-23,Sproutlife Foods Pvt ltd,8
2026-07-23,Visage lines Personal Care Pvt Ltd,5
2026-07-24,ALPHAWALK SERVICES LLP,1
2026-07-24,ANSH SABHARWAL,4
2026-07-24,ARTI KAPOOR,66
2026-07-24,BEATFUS PRODUCTS PRIVATE LIMITED,1
2026-07-24,Boenjoy Gifts,1
2026-07-24,CAMPUSSUTRA RETAIL PRIVATE LIMITED,1
2026-07-24,GO DESi MANDI PVT LTD,1
2026-07-24,Go5 Incorporation,5
2026-07-24,HITESH JAIN,2
2026-07-24,NAMMA DABBA PRIVATE LIMITED,5
2026-07-24,NUTS DELISH PRIVATE LIMITED,1
2026-07-24,Order Status,28
2026-07-24,QUICKCOM SOLUTIONS PRIVATE LIMITED,1
2026-07-24,RITI ARORA,13
2026-07-24,RedroomTechnology Private Limited,1
2026-07-24,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-24,ShopeeQ.com,23
2026-07-24,Sproutlife Foods Pvt ltd,3
2026-07-24,Visage lines Personal Care Pvt Ltd,10
2026-07-24,ZYNTRIX LIFESTYLE LLP,2
2026-07-25,ALPHAWALK SERVICES LLP,2
2026-07-25,ANSH SABHARWAL,7
2026-07-25,ARTI KAPOOR,59
2026-07-25,DABSTER INTERNATIONAL PRIVATE LIMITED,1
2026-07-25,DYNAMIC MARKETTING SOLUTION,1
2026-07-25,FitFeast,1
2026-07-25,Go5 Incorporation,5
2026-07-25,HITESH JAIN,2
2026-07-25,NAMMA DABBA PRIVATE LIMITED,5
2026-07-25,Order Status,12
2026-07-25,PANDA,2
2026-07-25,RAMAM GROUP,1
2026-07-25,RITI ARORA,14
2026-07-25,RedroomTechnology Private Limited,1
2026-07-25,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,1
2026-07-25,ShopeeQ.com,32
2026-07-25,Sproutlife Foods Pvt ltd,5
2026-07-25,Visage lines Personal Care Pvt Ltd,24
2026-07-25,ZYNTRIX LIFESTYLE LLP,1
2026-07-26,ANSH SABHARWAL,2
2026-07-26,ARTI KAPOOR,72
2026-07-26,DYNAMIC MARKETTING SOLUTION,1
2026-07-26,Go5 Incorporation,7
2026-07-26,HITESH JAIN,1
2026-07-26,In??ief,1
2026-07-26,MAYANK KWATRA,1
2026-07-26,NAMMA DABBA PRIVATE LIMITED,3
2026-07-26,Order Status,19
2026-07-26,PANDA,1
2026-07-26,RITI ARORA,3
2026-07-26,RedroomTechnology Private Limited,1
2026-07-26,SAVANI DAYABEN,1
2026-07-26,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-26,ShopeeQ.com,41
2026-07-26,Sproutlife Foods Pvt ltd,3
2026-07-26,Visage lines Personal Care Pvt Ltd,26
2026-07-26,WAYVEDA INDIA PRIVATE LIMITED,1
2026-07-26,ZYNTRIX LIFESTYLE LLP,1
2026-07-27,ANSH SABHARWAL,2
2026-07-27,ARTI KAPOOR,45
2026-07-27,BellOPages.com,1
2026-07-27,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-27,DYNAMIC MARKETTING SOLUTION,1
2026-07-27,Go5 Incorporation,9
2026-07-27,HITESH JAIN,1
2026-07-27,MAYANK KWATRA,1
2026-07-27,NAMMA DABBA PRIVATE LIMITED,1
2026-07-27,NATURE MANIA INDIA PRIVATE LIMITED,2
2026-07-27,NOVATEOR RESEARCH LABORATORIES  LIMITED,1
2026-07-27,Order Status,7
2026-07-27,Ph91 Consumer Goods India Pvt Ltd,1
2026-07-27,RITI ARORA,45
2026-07-27,SAVANI DAYABEN,2
2026-07-27,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,3
2026-07-27,ShopeeQ.com,36
2026-07-27,Sproutlife Foods Pvt ltd,4
2026-07-27,Visage lines Personal Care Pvt Ltd,13
2026-07-27,ZYNTRIX LIFESTYLE LLP,3
2026-07-27,coral tree,1
2026-07-28,ANSH SABHARWAL,3
2026-07-28,ARTI KAPOOR,61
2026-07-28,DYNAMIC MARKETTING SOLUTION,2
2026-07-28,Go5 Incorporation,8
2026-07-28,HITESH JAIN,2
2026-07-28,JUGAL KANT SHARMA,1
2026-07-28,NAMMA DABBA PRIVATE LIMITED,3
2026-07-28,Order Status,2
2026-07-28,Panditata Research Technology,1
2026-07-28,QUICKCOM SOLUTIONS PRIVATE LIMITED,1
2026-07-28,RITI ARORA,68
2026-07-28,SAVANI DAYABEN,1
2026-07-28,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-28,ShopeeQ.com,15
2026-07-28,Visage lines Personal Care Pvt Ltd,30
2026-07-28,ZYNTRIX LIFESTYLE LLP,2
2026-07-28,coral tree,2
2026-07-29,ANSH SABHARWAL,5
2026-07-29,ARTI KAPOOR,46
2026-07-29,Amitva retail,1
2026-07-29,DABSTER INTERNATIONAL PRIVATE LIMITED,1
2026-07-29,DYNAMIC MARKETTING SOLUTION,3
2026-07-29,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-29,Go5 Incorporation,2
2026-07-29,HITESH JAIN,2
2026-07-29,NAMMA DABBA PRIVATE LIMITED,2
2026-07-29,Order Status,2
2026-07-29,PANDA,1
2026-07-29,RITI ARORA,55
2026-07-29,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,1
2026-07-29,ShopeeQ.com,24
2026-07-29,Sproutlife Foods Pvt ltd,4
2026-07-29,Visage lines Personal Care Pvt Ltd,25
2026-07-29,ZYNTRIX LIFESTYLE LLP,5
2026-07-30,AMAN KUMAR,9
2026-07-30,ANSH SABHARWAL,2
2026-07-30,ARTI KAPOOR,74
2026-07-30,AURO FRUIT AND NUT PRIVATE LIMITED,1
2026-07-30,DABSTER INTERNATIONAL PRIVATE LIMITED,1
2026-07-30,DYNAMIC MARKETTING SOLUTION,1
2026-07-30,FitFeast,1
2026-07-30,Go5 Incorporation,7
2026-07-30,HITESH JAIN,4
2026-07-30,Hammer,1
